,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,3343.8953224888455,2942.9519382605636,1088.880203392878,904.9030659839431,401.0935242408648,0.0
6,2022-08-12,6687.790644977691,5885.903876521127,2177.760406785756,1809.8061319678861,802.1870484817296,0.0
7,2022-08-13,10031.685967466536,8828.855814781691,3266.6406101786342,2714.7091979518295,1203.2805727225941,0.0
8,2022-08-14,13375.581289955382,11771.807753042254,4355.520813571512,3619.6122639357723,1604.3740969634591,0.0
9,2022-08-15,16719.47661244423,14714.75969130282,5444.401016964392,4524.5153299197145,2005.4676212043237,0.0
10,2022-08-16,20063.37193493307,17657.711629563382,6533.2812203572685,5429.418395903659,2406.5611454451882,0.0
11,2022-08-17,23407.267257421918,20600.663567823944,7622.161423750147,6334.321461887602,2807.6546696860532,0.0
12,2022-08-18,20372.05633540233,18014.33269588827,6748.394553475371,5898.918585735569,3253.043757940112,0.0
13,2022-08-19,17336.845413382733,15428.001823952587,5874.627683200594,5463.515709583536,3698.4328461941695,0.0
14,2022-08-20,14301.634491363144,12841.670952016912,5000.860812925818,5028.112833431501,4143.821934448228,0.0
15,2022-08-21,11266.423569343548,10255.340080081236,4127.093942651041,4592.709957279467,4589.211022702285,0.0
16,2022-08-22,8231.212647323957,7669.009208145558,3253.327072376265,4157.307081127433,5034.600110956344,0.0
17,2022-08-23,5196.0017253043625,5082.678336209875,2379.5602021014884,3721.9042049754,5479.989199210402,0.0
18,2022-08-24,2160.790803284772,2496.347464274199,1505.7933318267114,3286.5013288233654,5925.37828746446,0.0
19,2022-08-25,2486.5203347174893,3000.678959356567,1721.8902874859823,4196.493429956178,6429.256402140786,1299.6975100423044
20,2022-08-26,2812.249866150215,3505.0104544389387,1937.9872431452509,5106.485531088992,6933.134516817115,2599.395020084609
21,2022-08-27,3137.9793975829316,4009.3419495213034,2154.0841988045204,6016.477632221807,7437.012631493441,3899.092530126913
22,2022-08-28,3463.708929015658,4513.673444603672,2370.181154463789,6926.469733354621,7940.89074616977,5198.790040169218
23,2022-08-29,3789.4384604483753,5018.00493968604,2586.27811012306,7836.461834487434,8444.768860846096,6498.487550211523
24,2022-08-30,4115.167991881101,5522.336434768411,2802.37506578233,8746.453935620248,8948.646975522423,7798.185060253826
25,2022-08-31,4440.897523313818,6026.66792985078,3018.4720214415984,9656.44603675306,9452.52509019875,9097.882570296131
26,2022-09-01,4725.867349855685,6466.120670845131,3207.6725819780763,10446.669819412216,9898.081796963526,10836.311416317092
27,2022-09-02,5010.837176397553,6905.573411839478,3396.873142514556,11236.893602071374,10343.638503728305,12574.740262338051
28,2022-09-03,5295.807002939421,7345.026152833832,3586.0737030510327,12027.117384730524,10789.195210493086,14313.169108359014
29,2022-09-04,5580.776829481288,7784.478893828179,3775.274263587513,12817.341167389683,11234.751917257861,16051.597954379977
