,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,283.0761383909718,231.33737163856355,0.0,0.0,0.0,257.8349350309652
6,2022-08-12,566.1522767819436,462.6747432771271,0.0,0.0,0.0,515.6698700619304
7,2022-08-13,849.2284151729153,694.0121149156905,0.0,0.0,0.0,773.5048050928956
8,2022-08-14,1132.304553563887,925.3494865542542,0.0,0.0,0.0,1031.3397401238608
9,2022-08-15,1415.380691954859,1156.6868581928177,0.0,0.0,0.0,1289.174675154826
10,2022-08-16,1698.4568303458307,1388.024229831381,0.0,0.0,0.0,1547.0096101857912
11,2022-08-17,1981.5329687368028,1619.3616014699448,0.0,0.0,0.0,1804.8445452167562
12,2022-08-18,1708.7222905917613,1388.024229831381,0.0,0.0,1.454049115929021,1547.009610185791
13,2022-08-19,1435.9116124467205,1156.6868581928177,0.0,0.0,2.908098231858042,1289.1746751548258
14,2022-08-20,1163.1009343016794,925.3494865542542,0.0,0.0,4.362147347787063,1031.3397401238606
15,2022-08-21,890.2902561566382,694.0121149156905,0.0,0.0,5.816196463716084,773.5048050928955
16,2022-08-22,617.4795780115971,462.6747432771271,0.0,0.0,7.270245579645104,515.6698700619303
17,2022-08-23,344.6688998665563,231.33737163856355,0.0,0.0,8.724294695574127,257.834935030965
18,2022-08-24,71.85822172151484,0.0,0.0,0.0,10.178343811503145,0.0
19,2022-08-25,100.01240202944847,15.710187730402636,16.916688566342977,230.2222363695676,112.58812916351731,105.91907343804645
20,2022-08-26,128.16658233738232,31.420375460805438,33.83337713268595,460.4444727391352,214.99791451553142,211.8381468760929
21,2022-08-27,156.32076264531594,47.13056319120807,50.75006569902894,690.6667091087028,317.4076998675456,317.7572203141394
22,2022-08-28,184.47494295324955,62.84075092161071,67.6667542653719,920.8889454782704,419.8174852195598,423.6762937521858
23,2022-08-29,212.62912326118317,78.55093865201333,84.5834428317149,1151.111181847838,522.227270571574,529.5953671902323
24,2022-08-30,240.78330356911707,94.26112638241614,101.50013139805787,1381.3334182174056,624.6370559235882,635.514440628279
25,2022-08-31,268.9374838770506,109.97131411281879,118.41681996440083,1611.5556545869733,727.0468412756023,741.4335140663252
26,2022-09-01,293.31633871275915,149.29433286184343,243.92324692477118,1659.2184570771926,805.7251222511755,837.6684825450302
27,2022-09-02,317.6951935484667,188.6173516108683,369.4296738851416,1706.8812595674115,884.4034032267485,933.9034510237356
28,2022-09-03,342.0740483841751,227.94037035989294,494.936100845512,1754.5440620576305,963.0816842023218,1030.1384195024405
29,2022-09-04,366.4529032198837,267.2633891089176,620.4425278058824,1802.2068645478496,1041.7599651778949,1126.3733879811455
30,2022-09-05,390.8317580555921,306.5864078579423,745.9489547662527,1849.8696670380687,1120.4382461534683,1222.6083564598505
31,2022-09-06,415.21061289129966,345.90942660696714,871.4553817266232,1897.532469528288,1199.1165271290415,1318.8433249385557
