,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,710.3203380277856,949.6052897679674,407.0955909190944,1046.9496363809264,794.613502507826,0.0
6,2022-08-12,1420.6406760555712,1899.2105795359348,814.1911818381888,2093.899272761853,1589.227005015652,0.0
7,2022-08-13,2130.961014083357,2848.8158693039018,1221.2867727572832,3140.8489091427796,2383.840507523478,0.0
8,2022-08-14,2841.2813521111425,3798.4211590718696,1628.3823636763775,4187.798545523706,3178.454010031304,0.0
9,2022-08-15,3551.601690138928,4748.026448839837,2035.4779545954718,5234.7481819046325,3973.0675125391303,0.0
10,2022-08-16,4261.922028166714,5697.6317386078035,2442.5735455145664,6281.697818285559,4767.681015046956,0.0
11,2022-08-17,4972.2423661944995,6647.237028375771,2849.6691364336607,7328.647454666485,5562.294517554781,0.0
12,2022-08-18,4261.922028166714,5697.6317386078035,2442.573545514566,6281.697818285559,4767.6810150469555,44.9072800477681
13,2022-08-19,3551.601690138928,4748.026448839837,2035.477954595472,5234.748181904632,3973.0675125391294,89.8145600955362
14,2022-08-20,2841.2813521111425,3798.421159071869,1628.3823636763775,4187.798545523706,3178.4540100313034,134.7218401433043
15,2022-08-21,2130.961014083357,2848.8158693039013,1221.2867727572832,3140.8489091427796,2383.8405075234778,179.6291201910724
16,2022-08-22,1420.6406760555712,1899.2105795359344,814.1911818381889,2093.8992727618534,1589.2270050156517,224.53640023884049
17,2022-08-23,710.3203380277856,949.6052897679675,407.0955909190944,1046.9496363809262,794.6135025078253,269.4436802866086
18,2022-08-24,0.0,0.0,0.0,0.0,0.0,314.3509603343767
19,2022-08-25,70.57220623457724,0.0,0.0,0.0,49.25332658581782,614.8857088932417
20,2022-08-26,141.14441246915345,0.0,0.0,0.0,98.50665317163495,915.4204574521069
21,2022-08-27,211.7166187037307,0.0,0.0,0.0,147.75997975745275,1215.9552060109718
22,2022-08-28,282.2888249383069,0.0,0.0,0.0,197.01330634327059,1516.4899545698368
23,2022-08-29,352.8610311728841,0.0,0.0,0.0,246.2666329290884,1817.024703128702
24,2022-08-30,423.4332374074603,0.0,0.0,0.0,295.5199595149055,2117.5594516875667
25,2022-08-31,494.0054436420376,0.0,0.0,0.0,344.77328610072334,2418.094200246432
26,2022-09-01,576.2426282854589,144.3710183540291,23.574834960270817,304.80888044854356,585.8495320736467,2580.46128988598
27,2022-09-02,658.4798129288823,288.74203670805895,47.14966992054185,609.6177608970863,826.925778046571,2742.8283795255284
28,2022-09-03,740.7169975723037,433.113055062088,70.72450488081266,914.4266413456298,1068.0020240194938,2905.1954691650753
29,2022-09-04,822.9541822157272,577.4840734161171,94.29933984108348,1219.2355217941733,1309.078269992418,3067.562558804623
30,2022-09-05,905.1913668591486,721.8550917701461,117.8741748013543,1524.0444022427162,1550.1545159653408,3229.92964844417
