,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,0.0,199.3882271310953,0.0,0.0,441.86715314392,0.0
6,2022-08-12,0.0,398.7764542621906,0.0,0.0,883.73430628784,0.0
7,2022-08-13,0.0,598.1646813932858,0.0,0.0,1325.60145943176,0.0
8,2022-08-14,0.0,797.5529085243812,0.0,0.0,1767.46861257568,0.0
9,2022-08-15,0.0,996.9411356554764,0.0,0.0,2209.3357657196,0.0
10,2022-08-16,0.0,1196.3293627865717,0.0,0.0,2651.20291886352,0.0
11,2022-08-17,0.0,1395.717589917667,0.0,0.0,3093.0700720074406,0.0
12,2022-08-18,201.49868779015708,1262.1570934355964,0.0,20.382710056432636,2651.2029188635206,0.0
13,2022-08-19,402.99737558031416,1128.596596953526,0.0,40.76542011286527,2209.3357657196,0.0
14,2022-08-20,604.4960633704712,995.0361004714553,0.0,61.1481301692979,1767.4686125756803,0.0
15,2022-08-21,805.9947511606283,861.4756039893845,0.0,81.53084022573054,1325.6014594317603,0.0
16,2022-08-22,1007.4934389507854,727.9151075073139,0.0,101.91355028216317,883.7343062878402,0.0
17,2022-08-23,1208.9921267409425,594.3546110252433,0.0,122.2962603385958,441.86715314392035,0.0
18,2022-08-24,1410.4908145310992,460.79411454317267,0.0,142.67897039502844,0.0,0.0
19,2022-08-25,1526.6940201995965,562.0671617405123,50.39095937845166,613.1669946582781,99.79888209783026,339.98759484244187
20,2022-08-26,1642.897225868094,663.3402089378517,100.78191875690332,1083.6550189215277,199.5977641956608,679.9751896848837
21,2022-08-27,1759.1004315365908,764.6132561351911,151.17287813535498,1554.1430431847778,299.396646293491,1019.9627845273255
22,2022-08-28,1875.3036372050885,865.8863033325313,201.56383751380665,2024.6310674480271,399.1955283913216,1359.9503793697675
23,2022-08-29,1991.5068428735856,967.1593505298706,251.95479689225832,2495.1190917112767,498.99441048915185,1699.9379742122094
24,2022-08-30,2107.710048542083,1068.4323977272097,302.34575627070996,2965.6071159745266,598.7932925869825,2039.925569054651
25,2022-08-31,2223.9132542105804,1169.7054449245497,352.7367156491616,3436.0951402377764,698.5921746848127,2379.913163897093
26,2022-09-01,2236.2898161965895,1257.8623193278147,460.9061834585058,3630.741312239258,938.1669175847092,2546.8049005369453
27,2022-09-02,2248.6663781825987,1346.0191937310806,569.0756512678499,3825.3874842407395,1177.7416604846055,2713.696637176797
28,2022-09-03,2261.0429401686088,1434.1760681343458,677.2451190771942,4020.0336562422212,1417.3164033845012,2880.5883738166494
29,2022-09-04,2273.4195021546184,1522.3329425376107,785.4145868865382,4214.679828243703,1656.8911462843976,3047.480110456502
30,2022-09-05,2285.7960641406275,1610.4898169408768,893.5840546958827,4409.326000245186,1896.4658891842944,3214.371847096355
31,2022-09-06,2298.1726261266367,1698.6466913441423,1001.7535225052269,4603.972172246667,2136.04063208419,3381.2635837362063
