,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,380.1435323586048,1066.217650270861,87.22707789355731,675.634073537271,689.4702273211954,0.0
6,2022-08-12,760.2870647172095,2132.435300541722,174.45415578711462,1351.268147074542,1378.9404546423907,0.0
7,2022-08-13,1140.4305970758144,3198.6529508125827,261.68123368067194,2026.902220611813,2068.4106819635863,0.0
8,2022-08-14,1520.574129434419,4264.870601083444,348.90831157422923,2702.536294149084,2757.8809092847814,0.0
9,2022-08-15,1900.7176617930236,5331.088251354305,436.1353894677866,3378.170367686354,3447.3511366059765,0.0
10,2022-08-16,2280.8611941516288,6397.3059016251655,523.3624673613439,4053.804441223626,4136.821363927173,0.0
11,2022-08-17,2661.0047265102335,7463.523551896026,610.5895452549012,4729.438514760896,4826.291591248368,0.0
12,2022-08-18,2497.216604517926,6521.893988816101,759.4793212857958,4053.804441223625,4136.821363927173,0.0
13,2022-08-19,2333.4284825256177,5580.264425736175,908.3690973166906,3378.170367686354,3447.351136605977,0.0
14,2022-08-20,2169.6403605333103,4638.6348626562485,1057.258873347585,2702.536294149083,2757.8809092847814,0.0
15,2022-08-21,2005.8522385410026,3697.005299576325,1206.1486493784798,2026.9022206118125,2068.4106819635863,0.0
16,2022-08-22,1842.0641165486943,2755.3757364963994,1355.0384254093747,1351.268147074542,1378.9404546423914,0.0
17,2022-08-23,1678.2759945563869,1813.7461734164733,1503.928201440269,675.6340735372703,689.4702273211957,0.0
18,2022-08-24,1514.4878725640797,872.1166103365476,1652.817977471164,0.0,0.0,0.0
19,2022-08-25,1594.365563261085,996.9583633586392,1679.8581690314068,285.2375606019327,121.34465179807503,703.13848255527
20,2022-08-26,1674.2432539580902,1121.800116380732,1706.898360591649,570.4751212038655,242.68930359614953,1406.27696511054
21,2022-08-27,1754.1209446550956,1246.6418694028237,1733.9385521518914,855.7126818057982,364.03395539422456,2109.41544766581
22,2022-08-28,1833.998635352101,1371.483622424914,1760.978743712134,1140.950242407731,485.3786071922996,2812.55393022108
23,2022-08-29,1913.8763260491069,1496.3253754470059,1788.0189352723758,1426.1878030096636,606.7232589903741,3515.692412776349
24,2022-08-30,1993.7540167461116,1621.1671284690985,1815.059126832619,1711.4253636115964,728.0679107884491,4218.83089533162
25,2022-08-31,2073.631707443117,1746.0088814911903,1842.0993183928608,1996.662924213529,849.4125625865242,4921.96937788689
26,2022-09-01,2145.1213888415077,1855.3166458872327,1867.272969589893,2343.998719902487,1143.542356836441,5250.99409339453
27,2022-09-02,2216.6110702399,1964.624410283275,1892.4466207869264,2691.334515591445,1437.6721510863588,5580.01880890217
28,2022-09-03,2288.10075163829,2073.932174679317,1917.620271983959,3038.6703112804025,1731.801945336276,5909.043524409811
29,2022-09-04,2359.59043303668,2183.239939075361,1942.7939231809917,3386.0061069693606,2025.9317395861926,6238.068239917452
